expediente;fecha_remision
02141-2018-0-3301-JR-FT-01;2019-02-05
02142-2018-0-3301-JR-FT-01;2019-02-05
02144-2018-0-3301-JR-FT-01;2019-02-05
02143-2018-0-3301-JR-FT-01;2019-02-05
02145-2018-0-3301-JR-FT-01;2019-02-05
02146-2018-0-3301-JR-FT-01;2019-02-05
02147-2018-0-3301-JR-FT-01;2019-02-05
02133-2018-0-3301-JR-FT-01;2019-02-05
02131-2018-0-3301-JR-FT-01;2019-02-05
02124-2018-0-3301-JR-FT-01;2019-02-05
02129-2018-0-3301-JR-FT-01;2019-02-05
02128-2018-0-3301-JR-FT-01;2019-02-05
02138-2018-0-3301-JR-FT-01;2019-02-05
02151-2018-0-3301-JR-FT-01;2019-02-05
02136-2018-0-3301-JR-FT-01;2019-02-05
02161-2018-0-3301-JR-FT-01;2019-02-05
01617-2018-0-3301-JR-FP-01;2019-01-24
00199-2018-0-3301-JR-FC-01;2019-01-24
00830-2016-0-3301-JR-FT-01;2019-01-23
00888-2016-0-3301-JR-FT-01;2019-01-23
00890-2016-0-3301-JR-FT-01;2019-01-23
00388-2016-0-3301-JR-FT-01;2019-01-23
00391-2016-0-3301-JR-FT-01;2019-01-23
00396-2016-0-3301-JR-FT-01;2019-01-23
00366-2016-0-3301-JR-FT-01;2019-01-23
00369-2016-0-3301-JR-FT-01;2019-01-23
00370-2016-0-3301-JR-FT-01;2019-01-23
00898-2016-0-3301-JR-FT-01;2019-01-23
00882-2016-0-3301-JR-FT-01;2019-01-23
00828-2016-0-3301-JR-FT-01;2019-01-23
00422-2016-0-3301-JR-FT-01;2019-01-23
00135-2016-0-3301-JR-FT-01;2019-01-23
00322-2016-0-3301-JR-FT-01;2019-01-23
00315-2016-0-3301-JR-FT-01;2019-01-23
00372-2016-0-3301-JR-FT-01;2019-01-23
00374-2016-0-3301-JR-FT-01;2019-01-23
00858-2016-0-3301-JR-FT-01;2019-01-23
00367-2016-0-3301-JR-FT-01;2019-01-23
00334-2016-0-3301-JR-FT-01;2019-01-23
00336-2016-0-3301-JR-FC-01;2019-01-23
00338-2016-0-3301-JR-FT-01;2019-01-23
00101-2016-0-3301-JR-FT-01;2019-01-23
00165-2016-0-3301-JR-FT-01;2019-01-23
00161-2016-0-3301-JR-FT-01;2019-01-23
00145-2016-0-3301-JR-FT-01;2019-01-23
00147-2016-0-3301-JR-FT-01;2019-01-23
00137-2016-0-3301-JR-FT-01;2019-01-23
00676-2016-0-3301-JR-FT-01;2019-01-23
00877-2016-0-3301-JR-FT-01;2019-01-23
00820-2016-0-3301-JR-FT-01;2019-01-23
00824-2016-0-3301-JR-FT-01;2019-01-23
00818-2016-0-3301-JR-FT-01;2019-01-23
00347-2016-0-3301-JR-FT-01;2019-01-23
00345-2016-0-3301-JR-FT-01;2019-01-23
00326-2016-0-3301-JR-FT-01;2019-01-23
00357-2016-0-3301-JR-FT-01;2019-01-23
00353-2016-0-3301-JR-FT-01;2019-01-23
00155-2016-0-3301-JR-FT-01;2019-01-23
00606-2016-0-3301-JR-FT-01;2019-01-23
00610-2016-0-3301-JR-FT-01;2019-01-23
00619-2016-0-3301-JR-FT-01;2019-01-23
00621-2016-0-3301-JR-FT-01;2019-01-23
00623-2016-0-3301-JR-FT-01;2019-01-23
00625-2016-0-3301-JR-FT-01;2019-01-23
00642-2016-0-3301-JR-FT-01;2019-01-23
00672-2016-0-3301-JR-FT-01;2019-01-23
00674-2016-0-3301-JR-FT-01;2019-01-23
00644-2016-0-3301-JR-FT-01;2019-01-23
00681-2016-0-3301-JR-FT-01;2019-01-23
00690-2016-0-3301-JR-FT-01;2019-01-23
00658-2016-0-3301-JR-FT-01;2019-01-23
00656-2016-0-3301-JR-FT-01;2019-01-23
00660-2016-0-3301-JR-FT-01;2019-01-23
00663-2016-0-3301-JR-FT-01;2019-01-23
00654-2016-0-3301-JR-FT-01;2019-01-23
00670-2016-0-3301-JR-FT-01;2019-01-23
00702-2016-0-3301-JR-FT-01;2019-01-23
00800-2016-0-3301-JR-FT-01;2019-01-23
00711-2016-0-3301-JR-FT-01;2019-01-23
00751-2016-0-3301-JR-FT-01;2019-01-23
00752-2016-0-3301-JR-FT-01;2019-01-23
00836-2016-0-3301-JR-FT-01;2019-01-23
00838-2016-0-3301-JR-FT-01;2019-01-23
00816-2016-0-3301-JR-FT-01;2019-01-23
00826-2016-0-3301-JR-FT-01;2019-01-23
00809-2016-0-3301-JR-FT-01;2019-01-23
