id_comisaria;oficio;fecha_denuncia;fecha_formalizacion;expediente;calificacion;hora;fecha_audiencia;remitira;oficioremitido;fecha_audienciaremision;ministerio;c_instancia;asistencialegal;psicologia;id_modulo;medida_file
3; 143-2019;2019-01-13;2019-01-14;222-2019;Ha lugar;15:30;2019-01-14;;;;0;28;0;0;30;file_o4lc7w7i1547572349.pdf
3; 144-2019;2019-01-12;2019-01-14;223-2019;Ha lugar;14:30;2019-01-14;;;;0;28;0;0;30;file_ox49na4m1547572878.pdf
3; 62-2019;2019-01-10;2019-01-14;224-2019;;00:00;;;;;0;28;0;1;30;
3; 148-2019;2019-01-10;2019-01-14;225-2019;;09:30;2019-01-15;;;;0;28;0;1;30;
3; 196-2019;2019-01-12;2019-01-14;226-2019;Ha lugar;16:00;2019-01-14;;;;0;28;0;0;30;file_7uuvsf5u1547575125.pdf
3; 146-2019;2019-01-11;2019-01-14;227-2019;Ha lugar;09:00;2019-01-15;;;;0;28;0;0;30;file_zgjqtxsk1547575668.pdf
3; 131-2019;2019-01-12;2019-01-14;228-2019;Ha lugar;10:00;2019-01-15;;;;0;28;0;0;30;file_d2x787491547576088.pdf
3; 142-2019;2019-01-12;2019-01-14;229-2019;Ha lugar;15:00;2019-01-14;;;;0;28;0;0;30;file_cww0kqge1547576631.pdf
12; 63-2019;2019-01-08;2019-01-14;234-2019;;00:00;;;;;0;38;0;0;30;
12; 07-2019;2019-01-11;2019-01-14;235-2019;;00:00;;;;;0;38;0;0;30;
11; 09-2019;2019-01-08;2019-01-14;236-2019;;00:00;;;;;0;38;0;0;30;
3; 154-2019;2018-12-26;2019-01-14;241-2019;Ha lugar;11:00;2019-01-15;;;;0;28;0;1;30;file_jkwc5k6r1547577030.pdf
6; 23-2019;2019-01-08;2019-01-14;245-2019;;00:00;;;;;0;38;0;0;30;
6; 24-2019;2019-01-08;2019-01-14;247-2019;;00:00;;;;;0;38;0;0;30;
6; 22-2019;2019-01-09;2019-01-14;248-2019;;00:00;;;;;0;38;0;0;30;
8; 83-2019;2019-01-09;2019-01-14;249-2019;;00:00;;;;;0;38;0;0;30;
3; 08-2018;2018-12-30;2019-01-03;25-2019;Ha lugar;16:30;2019-01-03;;;;0;28;0;0;30;file_0a98bbkk1546640178.pdf
7; 58-2019;2019-01-12;2019-01-14;250-2019;;00:00;;;;;0;38;0;0;30;
7; 66-2019;2019-01-11;2019-01-14;251-2019;;00:00;;;;;0;38;0;0;30;
7; 57-2019;2019-01-13;2019-01-14;252-2019;;00:00;;;;;0;38;0;0;30;
9; 63-2019;2019-01-10;2019-01-14;253-2019;;00:00;;;;;0;38;0;0;30;
8; 102-2019;2019-01-10;2019-01-14;254-2019;;00:00;;;;;0;38;0;0;30;
9; 64-2019;2019-01-11;2019-01-14;255-2019;;00:00;;;;;0;38;0;0;30;
9; 78-2019;2019-01-13;2019-01-14;256-2019;;00:00;;;;;0;38;0;0;30;
10; 93-2019;2019-01-13;2019-01-14;257-2019;;00:00;;;;;0;38;0;0;30;
10; 94-2019;2019-01-13;2019-01-14;258-2019;;00:00;;;;;0;38;0;0;30;
9; 60-2019;2019-01-10;2019-01-14;259-2019;;00:00;;;;;0;38;0;0;30;
3; 4055-2018;2018-12-30;2019-01-03;26-2019;;09:50;2019-01-04;;;;0;28;0;0;30;file_7i5wpdx41546640301.pdf
10; 84-2019;2019-01-12;2019-01-14;260-2019;;00:00;;;;;0;38;0;0;30;
10; 85-2019;2019-01-12;2019-01-14;262-2019;;00:00;;;;;0;38;0;0;30;
10; 83-2019;2019-01-12;2019-01-14;263-2019;;00:00;;;;;0;38;0;0;30;
10; 86-2019;2019-01-09;2019-01-14;264-2019;;00:00;;;;;0;38;0;0;30;
10; 87-2019;2019-01-12;2019-01-14;265-2019;;00:00;;;;;0;38;0;0;30;
10; 71-2019;2019-01-09;2019-01-14;266-2019;;00:00;;;;;0;38;0;0;30;
10; 72-2019;2019-01-11;2019-01-14;267-2019;;00:00;;;;;0;38;0;0;30;
1; 26-2019;2019-01-11;2019-01-14;268-2019;;00:00;;;;;0;38;0;0;30;
1; 25-2019;2019-01-10;2019-01-14;269-2019;;00:00;;;;;0;38;0;0;30;
3; 5644-2018;2018-12-28;2019-01-03;27-2019;Ha lugar;00:00;2019-01-03;Ministerio Público;148-2019;2019-01-14;0;28;0;0;30;file_t2lilly51546640613.pdf
3; 5645-2018;2018-12-28;2019-01-03;29-2019;Ha lugar;00:00;2019-01-03;;;;0;28;0;0;30;file_1fopzudn1546641785.pdf
6; 5-2019;2018-12-29;2019-01-03;0003-2019;;00:00;;;;;0;26;0;0;30;
6; 7-2019;2018-12-30;2019-01-03;31-2019;;00:00;;;;;0;26;0;0;30;
8; 12-2019;2018-12-31;2019-01-03;34-2019;;00:00;;;;;0;26;0;0;30;
