id_comisaria;oficio;fecha_denuncia;fecha_formalizacion;expediente;calificacion;hora;fecha_audiencia;remitira;oficioremitido;fecha_audienciaremision;c_instancia;id_modulo
140;4117-2018;2018-10-14;2018-10-17;24047-2018-0-0906-JR-FC-14;Ha lugar;09:26;2018-10-22;;;;53;20
140;4139-2018;2018-10-14;2018-10-17;24048-2018-0-0906-JR-FC-09;Ha lugar;09:19;2018-10-19;;;;48;20
140;-;2018-10-14;2018-10-17;24049-2018-0-0906-JR-FC-17;Ha lugar;16:24;2018-11-04;;;;56;20
140;4105-2018;2018-10-14;2018-10-17;24050-2018-0-0906-JR-FC-13;Ha lugar;10:09;2018-10-17;;;;52;20
140;4147-2018;2018-10-14;2018-10-17;24051-2018-0-0906-JR-FC-16;Ha lugar;11:08;2018-10-25;;;;55;20
140;3540-2018;2018-10-14;2018-10-17;24052-2018-0-0906-JR-FC-15;Ha lugar;09:56;2018-10-22;;;;54;20
140;3541-2018;2018-10-14;2018-10-17;24053-2018-0-0906-JR-FC-10;Ha lugar;14:39;2018-10-24;;;;49;20
140;4131-2018;2018-10-14;2018-10-17;24055-2018-0-0906-JR-FC-14;Ha lugar;13:02;2018-10-19;;;;53;20
140;3543-2018;2018-10-14;2018-10-17;24056-2018-0-0906-JR-FC-09;Ha lugar;10:32;2018-10-17;;;;48;20
140;4144-2018 ;2018-10-14;2018-10-17;24057-2018-0-0906-JR-FC-17;Ha lugar;12:20;2018-10-18;;;2018-12-07;56;20
140;3544-2018;2018-10-14;2018-10-17;24058-2018-0-0906-JR-FC-16;Ha lugar;10:26;2018-10-21;;;;55;20
140;3552-2018;2018-10-14;2018-10-17;24059-2018-0-0906-JR-FC-10;Ha lugar;14:50;2018-10-21;;;;49;20
140;-;2018-10-14;2018-10-17;24060-2018-0-0906-JR-FC-15;Ha lugar;14:36;2018-10-19;;;;54;20
140;-;2018-10-14;2018-10-17;24061-2018-0-0906-JR-FC-11;Ha lugar;12:09;2018-10-17;;;;50;20
140;-;2018-10-14;2018-10-17;24062-2018-0-0906-JR-FC-13;Ha lugar;18:00;2018-11-03;;;;52;20
140;-;2018-10-14;2018-10-17;24063-2018-0-0906-JR-FC-14;Ha lugar;09:42;2018-11-12;;;;53;20
140;-;2018-10-14;2018-10-17;24064-2018-0-0906-JR-FC-09;Ha lugar;11:11;2018-11-06;;;;48;20
140;4126-2018;2018-10-14;2018-10-17;24065-2018-0-0906-JR-FC-10;Ha lugar;10:14;2018-10-22;;;;49;20
140;-;2018-10-14;2018-10-17;24066-2018-0-0906-JR-FC-13;Ha lugar;16:37;2018-10-22;;;;52;20
140;-;2018-10-14;2018-10-17;24068-2018-0-0906-JR-FC-15;Ha lugar;19:32;2018-11-02;;;;54;20
140;4129-2018;2018-10-14;2018-10-17;24069-2018-0-0906-JR-FC-11;Ha lugar;10:54;2018-10-24;;;;50;20
140;4141-2018;2018-10-14;2018-10-17;24071-2018-0-0906-JR-FC-12;Ha lugar;10:21;2018-10-18;;;;51;20
140;4107-2018;2018-10-14;2018-10-17;24072-2018-0-0906-JR-FC-12;Ha lugar;10:17;2018-10-18;;;;51;20
140;7144-2018;2018-10-14;2018-10-17;24073-2018-0-0906-JR-FC-11;Ha lugar;17:48;2018-10-17;;;;50;20
140;6568-2018;2018-10-14;2018-10-17;24074-2018-0-0906-JR-FC-12;Ha lugar;11:33;2018-10-17;;;;51;20
140;7400-2018;2018-10-14;2018-10-17;24075-2018-0-0906-JR-FC-12;Ha lugar;10:10;2018-10-18;;;;51;20
140;-;2018-10-14;2018-10-17;24076-2018-0-0906-JR-FC-11;Ha lugar;13:21;2018-10-26;;;;50;20
140;3314-2018;2018-10-14;2018-10-17;24077-2018-0-0906-JR-FC-11;Ha lugar;13:32;2018-10-24;;;;50;20
140;-;2018-10-14;2018-10-17;24078-2018-0-0906-JR-FC-12;Ha lugar;15:16;2018-10-23;;;;51;20
140;3516-2018;2018-10-14;2018-10-17;24079-2018-0-0906-JR-FC-11;Ha lugar;11:56;2018-10-17;;;;50;20
140;3503-2018;2018-10-14;2018-10-17;24080-2018-0-0906-JR-FC-12;Ha lugar;11:31;2018-10-25;;;;51;20
140;-;2018-10-14;2018-10-17;24081-2018-0-0906-JR-FC-12;Ha lugar;11:51;2018-10-25;;;;51;20
140;3502-2018;2018-10-14;2018-10-17;24082-2018-0-0906-JR-FC-11;Ha lugar;12:12;2018-10-17;;;;50;20
140;3501-2018;2018-10-14;2018-10-17;24083-2018-0-0906-JR-FC-12;Ha lugar;12:17;2018-10-17;;;;51;20
140;7398-2018;2018-10-14;2018-10-17;24084-2018-0-0906-JR-FC-11;Ha lugar;09:03;2018-10-23;;;;50;20
140;7397-2018;2018-10-14;2018-10-17;24085-2018-0-0906-JR-FC-11;Ha lugar;09:16;2018-10-23;;;;50;20
140;7396-2018;2018-10-14;2018-10-17;24086-2018-0-0906-JR-FC-12;Ha lugar;11:51;2018-10-26;;;;51;20
140;7403-2018;2018-10-14;2018-10-17;24088-2018-0-0906-JR-FC-12;Ha lugar;17:03;2018-10-24;;;;51;20
140;2124-2018;2018-10-14;2018-10-17;24089-2018-0-0906-JR-FC-11;Ha lugar;15:08;2018-10-19;;;;50;20
140;7402-2018;2018-10-14;2018-10-17;24090-2018-0-0906-JR-FC-11;Ha lugar;15:13;2018-10-19;;;;50;20
140;7401-2018;2018-10-14;2018-10-17;24091-2018-0-0906-JR-FC-12;Ha lugar;12:54;2018-10-17;;;;51;20
140;2120-2018;2018-10-14;2018-10-17;24092-2018-0-0906-JR-FC-12;Ha lugar;15:40;2018-10-26;;;;51;20
140;7331-2018;2018-10-14;2018-10-17;24093-2018-0-0906-JR-FC-11;Ha lugar;13:07;2018-10-17;;;;50;20
